parameter	value
pastml_version	1.9.42
character	Country
num_nodes	303
num_scenarios	559872
num_states_per_node_avg	1.0792079207920793
num_tips	152
num_unresolved_nodes	13
percentage_of_unresolved_nodes	4.29042904290429
steps	30
method	DOWNPASS
